a,b,country_a,country_b,same_country,n_coop_partners,score_coop_partners,n_adversaries,score_adversaries,coop_partners,adversaries
Devils Diciples Motorcycle Club,Merciless Souls Motorcycle Club,United States,,,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Hells Angels Motorcycle Club,X-Team,United States,Denmark,False,1,1,1,1,['Bandidos Motorcycle Club'],['Black Cobra']
Islamic Movement of Uzbekistan,Islamic State,,Iraq,,1,1,1,1,['Taliban'],['Taliban']
Aryan Brotherhood of Texas,OVS,United States,United States,True,1,1,1,1,['Mexican Mafia'],['Black Guerrilla Family']
Ahbash,Hamas,,Palestine,,1,1,1,1,['Hezbollah'],['Hezbollah']
Cártel del Noreste,Los Rusos,Mexico,,,1,1,1,1,['La Mayiza'],['Los Chapitos']
Los Ninis,Los Rojos,Mexico,Mexico,True,1,1,1,1,['Sinaloa Cartel'],['Beltrán-Leyva Organization']
Manitoba Warriors,Satudarah,Canada,Netherlands,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Black Dragons,Menace of Destruction,United States,United States,True,1,1,1,1,['Asian Boyz'],['Tiny Rascal Gang']
Harrison Gents,Satan Disciples,,,,1,1,1,1,['Spanish Gangster Disciples'],['Taylor Street Jousters']
Black Gangster Disciples Nation,Black Power (New Zealand gang),United States,New Zealand,False,1,1,1,1,['Crips'],['Bloods']
Mongols MC,Para-Dice Riders,United States,,,1,1,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Comanchero Motorcycle Club,Mexican Mafia,Australia,United States,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Norteños,Tongan Crip Gang,United States,United States,True,1,1,1,1,['18th Street Gang'],['Mara Salvatrucha']
Al-Shabaab,Liwa Fatemiyoun,Somalia,,,1,1,1,1,['Houthis'],['Islamic State']
La Unión Tepito,Los Rojos,Mexico,Mexico,True,1,1,1,1,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
18th Street Gang,Dominicans Don't Play,United States,United States,True,1,1,1,1,['Latin Kings'],['Bloods']
Hell's Henchmen MC,Warlocks Motorcycle Club (Florida),,United States,,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
'Ndrina Giuliano,Formicola clan,Italy,,,1,1,1,1,['Rinaldi clan'],['Clan Mazzarella']
Para-Dice Riders,Sons of Silence,,United States,,1,1,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Pirus,Trinitarios,United States,United States,True,1,1,1,1,['Bloods'],['Crips']
Houthis,Jaish-e-Mohammed,Yemen,,,1,1,1,1,['Al-Qaeda'],['Rapid Support Forces']
New Zealand Nomads,Rebels Motorcycle Club,New Zealand,Australia,False,1,1,1,1,['Tribesmen Motorcycle Club'],['Hells Angels Motorcycle Club']
Siderno Group,Sinaloa Cartel,Italy,Mexico,False,1,1,1,1,['American Mafia'],['Wolfpack Alliance']
Cártel de Tláhuac,Los Metros,Mexico,Mexico,True,1,1,1,1,['Cártel de Jalisco Nueva Generación'],['Sinaloa Cartel']
Asian Boyz,Nuestra Familia,United States,United States,True,1,1,1,1,['Crips'],['Fresno Bulldogs']
Four Corner Hustlers,Spanish Gangster Disciples,United States,United States,True,1,1,1,1,['Latin Kings'],['Maniac Latin Disciples']
Indian Posse,Loners Motorcycle Club,Canada,Canada,True,1,1,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Golden Hawk Riders,Hells Angels Motorcycle Club,,United States,,1,1,1,1,"[""Satan's Choice Motorcycle Club""]","[""Satan's Choice Motorcycle Club""]"
Fukuhaku-kai,Kyushu Seido-kai,Japan,Japan,True,1,1,1,1,['Yamaguchi-gumi'],['Dojin-kai']
Culver City Boys,Los Negros,United States,Mexico,False,1,1,1,1,['Mexican Mafia'],['18th Street Gang']
Cannonball Motorcycle Club,Miri clan,Finland,Germany,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Bandidos Motorcycle Club']
Doghmush clan,Hezbollah,Palestine,Lebanon,False,1,1,1,1,['Al-Qaeda'],['Hamas']
Chiapas–Guatemala Cartel,Cártel de Tláhuac,Mexico,Mexico,True,1,1,1,1,['Cártel de Jalisco Nueva Generación'],['Sinaloa Cartel']
Comanchero Motorcycle Club,New Zealand Nomads,Australia,New Zealand,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Harrison Gents,Imperial Gangsters,,,,1,1,1,1,['Spanish Gangster Disciples'],['Spanish Gangster Disciples']
Bacon Brothers,Redd Alert,Canada,Canada,True,1,1,1,1,['Hells Angels Motorcycle Club'],['United Nations (gang)']
Black Pistons Motorcycle Club,Pagan's Motorcycle Club,Germany,United States,False,1,1,1,1,['Outlaws Motorcycle Club'],['Hells Angels Motorcycle Club']
Outlaws Motorcycle Club,Para-Dice Riders,United States,,,1,1,1,1,"[""Satan's Choice Motorcycle Club""]",['Hells Angels Motorcycle Club']
Desperados Motorcycle Club,Sons of Silence,,United States,,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Cannonball Motorcycle Club,Iron Horsemen Motorcycle Club,Finland,United States,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Bandidos Motorcycle Club']
Guardiões do Estado,Os Manos,Brazil,Brazil,True,1,1,1,1,['Primeiro Comando da Capital'],['Comando Vermelho']
Cártel de Tláhuac,Los Lobos,Mexico,Ecuador,False,1,1,1,1,['Cártel de Jalisco Nueva Generación'],['Sinaloa Cartel']
'Ndrina Giuliano,Commisso 'ndrina,Italy,Italy,True,1,1,1,1,['Clan Licciardi'],"[""'Ndrina Piromalli""]"
Dhak-Duhre coalition,Dhak-Duhre group,,,,1,1,1,1,['United Nations (gang)'],['Wolfpack Alliance']
D.C. Blacks,Dead Man Incorporated,United States,United States,True,1,1,1,1,['Black Guerrilla Family'],['Aryan Brotherhood']
Merciless Souls Motorcycle Club,Red Devils Motorcycle Club,,Sweden,,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Tiny Rascal Gang,White Tigers,United States,United States,True,1,1,1,1,['Ghost Shadows'],['Menace of Destruction']
Hamas,Harakat Hezbollah al-Nujaba,Palestine,,,1,1,1,1,['Houthis'],['Islamic State']
'Ndrina Piromalli,Clan Licciardi,Italy,Italy,True,1,1,1,1,"[""Commisso 'ndrina""]","[""'Ndrina Giuliano""]"
Jama'at Nasr al-Islam wal-Muslimin,Tahrir al-Sham,,,,1,1,1,1,['Taliban'],['Wagner Group']
Tiny Rascal Gang,Zoe Pound,United States,United States,True,1,1,1,1,['Crips'],['Mara Salvatrucha']
Mongols MC,Prisoners of War MC,United States,,,1,1,1,1,['Hells Angels Motorcycle Club'],['Bandidos Motorcycle Club']
Desperados Motorcycle Club,Warlocks MC,,,,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Clan Abbinante,Notturno clan,Italy,,,1,1,1,1,['Amato-Pagano clan'],['Amato-Pagano clan']
Comando Vermelho,La Unión Tepito,Brazil,Mexico,False,1,1,1,1,['Tren de Aragua'],['Tren de Aragua']
Nuova Camorra Organizzata,Nuova Camorra Speciale,Italy,,,1,1,1,1,['Clan dei Casalesi'],['Clan Fabbrocino']
Bonanno crime family,Crips,United States,United States,True,1,1,1,1,['Gambino crime family'],['Bloods']
Gente Nueva,La Empresa,Mexico,Colombia,False,1,1,1,1,['Los Mexicles'],['Juárez Cartel']
Camorra clan Zaza,Clan Matrone,,Italy,,1,1,1,1,['Nuova Famiglia'],['Nuova Camorra Organizzata']
856 Gang,Manitoba Warriors,Canada,Canada,True,1,1,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Islamic State,Jama'at Nasr al-Islam wal-Muslimin,Iraq,,,1,1,1,1,['Taliban'],['Wagner Group']
Iron Horsemen Motorcycle Club,Prisoners of War MC,United States,,,1,1,1,1,['Hells Angels Motorcycle Club'],['Bandidos Motorcycle Club']
Aryan Brotherhood,New Zealand Nomads,United States,New Zealand,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
El Forastero Motorcycle Club,Merciless Souls Motorcycle Club,United States,,,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Bacon Brothers,Dhak-Duhre coalition,Canada,,,1,1,1,1,['United Nations (gang)'],['Wolfpack Alliance']
La Nueva Familia Michoacana,Los Choneros,Mexico,Ecuador,False,1,1,1,1,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
American Mafia,Camorra clan Zaza,United States,,,1,1,1,1,['Nuova Famiglia'],['Nuova Camorra Organizzata']
Comando Vermelho,Los Paisas,Brazil,Colombia,False,1,1,1,1,['Revolutionary Armed Forces of Colombia'],['Tren de Aragua']
New Zealand Nomads,Road Knights Motorcycle Club,New Zealand,New Zealand,True,1,1,1,1,['Hells Angels Motorcycle Club'],['Mongrel Mob']
Desperados Motorcycle Club,Mongols MC,,United States,,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Desperados Motorcycle Club,Original Red Devils Motorcycle Club,,Canada,,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Sons of Silence,Warlocks Motorcycle Club (Florida),United States,United States,True,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Fukuhaku-kai,Shinwa-kai,Japan,Japan,True,1,1,1,1,['Yamaguchi-gumi'],['Yamaguchi-gumi']
Clan Sarno,Rinaldi clan,Italy,Italy,True,1,1,1,1,['Aprea-Cuccaro clan'],['Clan Mazzarella']
Latin Counts,Mickey Cobras,United States,United States,True,1,1,1,1,['Almighty Vice Lord Nation'],['Maniac Latin Disciples']
Hells Angels Motorcycle Club,Kang crime family,United States,,,1,1,1,1,['United Nations (gang)'],['Independent Soldiers']
856 Gang,Redd Alert,Canada,Canada,True,1,1,1,1,['Hells Angels Motorcycle Club'],['United Nations (gang)']
Mexican Mafia,New Zealand Nomads,United States,New Zealand,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Florencia 13,White Fence,United States,United States,True,1,1,1,1,['Temple Street gang'],['Norteños']
Los Ciclones,Los Lobos,Mexico,Ecuador,False,1,1,1,1,['Cártel de Jalisco Nueva Generación'],['Sinaloa Cartel']
Milenio Cartel,South Pacific Cartel,Mexico,Mexico,True,1,1,1,1,['Los Zetas'],['Gulf Cartel']
Chosen Few Motorcycle Club,Loners Motorcycle Club,United States,Canada,False,1,1,1,1,['Outlaws Motorcycle Club'],['Outlaws Motorcycle Club']
Prisoners of War MC,Rockers Motor Club,,Canada,,1,1,1,1,['Hells Angels Motorcycle Club'],['Bandidos Motorcycle Club']
Diablos Motorcycle Club,Red Scorpions,United States,Canada,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Clan Brunetti,Clan Licciardi,,Italy,,1,1,1,1,"[""'Ndrina Giuliano""]",['Clan Mazzarella']
La Unión Tepito,Los Metros,Mexico,Mexico,True,1,1,1,1,['Cártel de Jalisco Nueva Generación'],['Sinaloa Cartel']
856 Gang,Loners Motorcycle Club,Canada,Canada,True,1,1,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Clan Sarno,Nuova Camorra Speciale,Italy,,,1,1,1,1,['Clan Mazzarella'],['Clan Fabbrocino']
Latin Kings,Puro Tango Blast,United States,United States,True,1,1,1,1,['Gulf Cartel'],['Crips']
Asian Boyz,Killer Beez,United States,New Zealand,False,1,1,1,1,['Crips'],['Bloods']
Cannonball Motorcycle Club,Rockers Motor Club,Finland,Canada,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Bandidos Motorcycle Club']
Satudarah,United Nations (gang),Netherlands,Canada,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Philadelphia crime family,Rudaj Organization,United States,United States,True,1,1,1,1,['Gambino crime family'],['Gambino crime family']
'Ndrina Facchineri,'Ndrina Tripodo,Italy,,,1,1,1,1,"[""'Ndrina Lo Presti""]","[""'Ndrina Piromalli""]"
La Línea,Los Pelones,Mexico,Mexico,True,1,1,1,1,['Gulf Cartel'],['Gente Nueva']
Desperados Motorcycle Club,Loners Motorcycle Club,,Canada,,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Camorra clan Zaza,Clan Fabbrocino,,Italy,,1,1,1,1,['Nuova Famiglia'],['Nuova Camorra Organizzata']
Kerryonians,Plug Uglies,United States,United States,True,1,1,1,1,['Dead Rabbits'],['Bowery Boys']
Bandidos Motorcycle Club,Original Red Devils Motorcycle Club,United States,Canada,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
'Ndrina Facchineri,Commisso 'ndrina,Italy,Italy,True,1,1,1,1,"[""'Ndrina Lo Presti""]","[""'Ndrina Piromalli""]"
Al-Qaeda,Palestinian Islamic Jihad,Saudi Arabia,Palestine,False,1,1,1,1,['Hezbollah'],['Islamic State']
Clan Gionta,Sacra Corona Unita,Italy,Italy,True,1,1,1,1,['Società foggiana'],['Nuova Camorra Organizzata']
'Ndrina Lo Giudice,Latella 'ndrina,Italy,Italy,True,1,1,1,1,"[""'Ndrina Rosmini""]","[""'Ndrina Barreca""]"
Mexican Mafia,Satudarah,United States,Netherlands,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Desperados Motorcycle Club,Merciless Souls Motorcycle Club,,,,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
American Mafia,Contini clan,United States,Italy,False,1,1,1,1,['Nuova Famiglia'],['Nuova Camorra Organizzata']
Massa Carcerária,Os Manos,Brazil,Brazil,True,1,1,1,1,['Primeiro Comando da Capital'],['Comando Vermelho']
Mongols MC,Original Red Devils Motorcycle Club,United States,Canada,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Los Zetas,Organización Beltrán Leyva,Mexico,,,1,1,1,1,['Sinaloa Cartel'],['Sinaloa Cartel']
Clan Abbinante,Girati della Vanella Grassi,Italy,,,1,1,1,1,['Clan Di Lauro'],['Amato-Pagano clan']
Barrio Azteca,Los Metros,United States,Mexico,False,1,1,1,1,['Los Zetas'],['Sinaloa Cartel']
Iron Horsemen Motorcycle Club,Original Red Devils Motorcycle Club,United States,Canada,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Família Terror do Amapá,Os Manos,Brazil,Brazil,True,1,1,1,1,['Primeiro Comando da Capital'],['Comando Vermelho']
Bloods,Los Angeles crime family,United States,United States,True,1,1,1,1,['Gambino crime family'],['Bonanno crime family']
La Empresa,La Unión Tepito,Colombia,Mexico,False,1,1,1,1,['Tren de Aragua'],['Sinaloa Cartel']
Comanchero Motorcycle Club,Red Scorpions,Australia,Canada,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Latin Kings,Los Rojos,United States,Mexico,False,1,1,1,1,['Sinaloa Cartel'],['Mara Salvatrucha']
Juárez Cartel,Los Ántrax,Mexico,Mexico,True,1,1,1,1,['Los Chapitos'],['Los Zetas']
Bandidos Motorcycle Club,Merciless Souls Motorcycle Club,United States,,,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Muerte a Secuestradores,National Liberation Army (Colombia),Colombia,Colombia,True,1,1,1,1,['Cartel de Medellín'],['Revolutionary Armed Forces of Colombia']
Barrio Azteca,Grupo Flechas,United States,Mexico,False,1,1,1,1,['Los Zetas'],['Cártel de Jalisco Nueva Generación']
Warlocks MC,Warlocks Motorcycle Club (Pennsylvania),,United States,,1,1,1,1,['Philadelphia crime family'],['Breed Motorcycle Club']
Bonde do Maluco,Liga da Justiça,Brazil,Brazil,True,1,1,1,1,['Terceiro Comando Puro'],['Comando Vermelho']
Minore Mafia clan,Sicilian Mafia,Italy,Italy,True,1,1,1,1,['Corleonesi'],['Corleonesi']
'Ndrina Serraino,Latella 'ndrina,Italy,Italy,True,1,1,1,1,"[""'Ndrina Rosmini""]","[""'Ndrina Barreca""]"
Al-Qaeda in the Arabian Peninsula,Liwa Fatemiyoun,Yemen,,,1,1,1,1,['Houthis'],['Islamic State']
Satudarah,White Boy Posse,Netherlands,Canada,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Bandidos Motorcycle Club']
Crips,Sureños 13,United States,,,1,1,1,1,['Black Gangster Disciples Nation'],['18th Street Gang']
Los Zetas,Yakuza,Mexico,Japan,False,1,1,1,1,['Sinaloa Cartel'],['Cárteles Unidos']
Clan Fabbrocino,Clan Matrone,Italy,Italy,True,1,1,1,1,['Nuova Famiglia'],['Nuova Camorra Organizzata']
Artistas Asesinos,Los Viagras,Mexico,Mexico,True,1,1,1,1,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Ajnad al-Sham Islamic Union,Al-Nusra Front,,Syria,,1,1,1,1,['Ahrar al-Sham'],['Islamic State']
Chiapas–Guatemala Cartel,Los Ciclones,Mexico,Mexico,True,1,1,1,1,['Cártel de Jalisco Nueva Generación'],['Sinaloa Cartel']
Culver City Boys,Temple Street gang,United States,United States,True,1,1,1,1,['Mexican Mafia'],['18th Street Gang']
Clan Pariante,Notturno clan,Italy,,,1,1,1,1,['Amato-Pagano clan'],['Amato-Pagano clan']
Artistas Asesinos,La Empresa,Mexico,Colombia,False,1,1,1,1,['Los Mexicles'],['Juárez Cartel']
Guadalajara Cartel,Los Mexicles,Mexico,Mexico,True,1,1,1,1,['Sinaloa Cartel'],['Gulf Cartel']
La Unión Tepito,Los Choneros,Mexico,Ecuador,False,1,1,1,1,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Família Terror do Amapá,Terceiro Comando Puro,Brazil,Brazil,True,1,1,1,1,['Primeiro Comando da Capital'],['Comando Vermelho']
856 Gang,Aryan Brotherhood,Canada,United States,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Chosen Few Motorcycle Club,Pagan's Motorcycle Club,United States,United States,True,1,1,1,1,['Outlaws Motorcycle Club'],['Outlaws Motorcycle Club']
Cártel de Tepalcatepec,Los Correa,Mexico,,,1,1,1,1,['Cárteles Unidos'],['Cártel de Jalisco Nueva Generación']
Cártel de Jalisco Nueva Generación,Los Muertos,Mexico,,,1,1,1,1,['Juárez Cartel'],['Gente Nueva']
Gulf Cartel,Los Ninis,Mexico,Mexico,True,1,1,1,1,['Sinaloa Cartel'],['Beltrán-Leyva Organization']
Iron Horsemen Motorcycle Club,Merciless Souls Motorcycle Club,United States,,,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Original Red Devils Motorcycle Club,Warlocks Motorcycle Club (Florida),Canada,United States,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Prisoners of War MC,White Boy Posse,,Canada,,1,1,1,1,['Hells Angels Motorcycle Club'],['Bandidos Motorcycle Club']
Merciless Souls Motorcycle Club,Sons of Silence,,United States,,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Bandidos Motorcycle Club,Outcasts MC,United States,,,1,1,1,1,['Outlaws Motorcycle Club'],['Hells Angels Motorcycle Club']
Al-Qaeda in the Arabian Peninsula,Jaysh al-Islam,Yemen,,,1,1,1,1,['Al-Nusra Front'],['Islamic State']
Mongrel Mob,Norteños,New Zealand,United States,False,1,1,1,1,['Bloods'],['Mongols MC']
Cártel del Noreste,Mara Salvatrucha,Mexico,United States,False,1,1,1,1,['Gulf Cartel'],['Juárez Cartel']
Cannonball Motorcycle Club,White Boy Posse,Finland,Canada,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Bandidos Motorcycle Club']
Alkhalil family,Red Scorpions,Palestine,Canada,False,1,1,1,1,['Wolfpack Alliance'],['Hells Angels Motorcycle Club']
'Ndrina Piromalli,Condello-Rosmini-Imerti,Italy,,,1,1,1,1,"[""'Ndrina Alvaro""]","[""'Ndrina De Stefano""]"
Cartel de la Costa,National Liberation Army (Colombia),Colombia,Colombia,True,1,1,1,1,['Cartel de Medellín'],['Autodefensas Unidas de Colombia']
White Boy Posse,Zig Zag Crew,Canada,,,1,1,1,1,['Hells Angels Motorcycle Club'],['Indian Posse']
Avenues,Norteños,United States,United States,True,1,1,1,1,['Mongols MC'],['18th Street Gang']
Mara Salvatrucha,Puro Tango Blast,United States,United States,True,1,1,1,1,['Gulf Cartel'],['Crips']
Merciless Souls Motorcycle Club,Warlocks MC,,,,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Black Disciples,Simon City Royals,United States,United States,True,1,1,1,1,['Black Gangster Disciples Nation'],['Almighty Vice Lord Nation']
Desperados Motorcycle Club,Devils Diciples Motorcycle Club,,United States,,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Dark Circle,Palmers MC,,,,1,1,1,1,['Rock Machine Motorcycle Club'],['Rockers Motor Club']
Para-Dice Riders,Satudarah,,Netherlands,,1,1,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Clan D'Alessandro,Clan Nuvoletta,Italy,Italy,True,1,1,1,1,['Nuova Famiglia'],['Alfieri clan']
Nazi Lowriders,White Fence,United States,United States,True,1,1,1,1,['Mexican Mafia'],['Norteños']
Comanchero Motorcycle Club,Iron Horsemen Motorcycle Club,Australia,United States,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Bandidos Motorcycle Club']
Cártel de Jalisco Nueva Generación,Los Pelones,Mexico,Mexico,True,1,1,1,1,['Gulf Cartel'],['Gente Nueva']
Los Correa,Los Viagras,,Mexico,,1,1,1,1,['Cárteles Unidos'],['Cártel de Jalisco Nueva Generación']
Chiapas–Guatemala Cartel,Fuerza Anti-Unión,Mexico,Mexico,True,1,1,1,1,['Cártel de Jalisco Nueva Generación'],['Sinaloa Cartel']
New Zealand Nomads,Sons of Silence,New Zealand,United States,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Comanchero Motorcycle Club,Elmir family,Australia,,,1,1,1,1,['Alameddine crime network'],['Ahmad family']
Dirty Dozen Motorcycle Club,Mexican Mafia,United States,United States,True,1,1,1,1,['Hells Angels Motorcycle Club'],['Mongols MC']
Clan De Luca Bossa,Formicola clan,Italy,,,1,1,1,1,['Rinaldi clan'],['Clan Mazzarella']
Merciless Souls Motorcycle Club,Mongols MC,,United States,,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Organización Beltrán Leyva,Tijuana Cartel,,Mexico,,1,1,1,1,['Sinaloa Cartel'],['Sinaloa Cartel']
Loners Motorcycle Club,Warlocks Motorcycle Club (Florida),Canada,United States,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Coffin Cheaters,Road Knights Motorcycle Club,Australia,New Zealand,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Mongrel Mob']
Los Viagras,South Pacific Cartel,Mexico,Mexico,True,1,1,1,1,['Beltrán-Leyva Organization'],['Guerreros Unidos']
Merciless Souls Motorcycle Club,Original Red Devils Motorcycle Club,,Canada,,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Diablos Motorcycle Club,Warlocks Motorcycle Club (Florida),United States,United States,True,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Formicola clan,Secondigliano Alliance,,Italy,,1,1,1,1,['Rinaldi clan'],['Clan Mazzarella']
Almighty Black P. Stone Nation,Spanish Gangster Disciples,United States,United States,True,1,1,1,1,['Latin Kings'],['Maniac Latin Disciples']
'Ndrina Serraino,Condello-Rosmini-Imerti,Italy,,,1,1,1,1,"[""'Ndrina Alvaro""]","[""'Ndrina De Stefano""]"
Independent Cartel of Acapulco,Yakuza,Mexico,Japan,False,1,1,1,1,['Los Viagras'],['Cárteles Unidos']
Bandidos Motorcycle Club,Desperados Motorcycle Club,United States,,,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
Independent Soldiers,New Zealand Nomads,Canada,New Zealand,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Bonanno crime family,Cohen crime family,United States,,,1,1,1,1,['Chicago Outfit'],['Los Angeles crime family']
Clan Abbinante,Marino clan,Italy,,,1,1,1,1,['Amato-Pagano clan'],['Amato-Pagano clan']
Bonde do Maluco,Bonde dos 13,Brazil,Brazil,True,1,1,1,1,['Primeiro Comando da Capital'],['Comando Vermelho']
Gulf Cartel,Vineland Boys,Mexico,United States,False,1,1,1,1,['Sinaloa Cartel'],['18th Street Gang']
People Nation,Ñetas,United States,Puerto Rico,False,1,1,1,1,['Latin Kings'],['Crips']
La Familia Michoacana,Los Ninis,Mexico,Mexico,True,1,1,1,1,['Sinaloa Cartel'],['Beltrán-Leyva Organization']
Dhak-Duhre group,Kang crime family,,,,1,1,1,1,['United Nations (gang)'],['Independent Soldiers']
Armenian Power,Logan Heights Gang,United States,United States,True,1,1,1,1,['Mexican Mafia'],['Mara Salvatrucha']
Bandidos Motorcycle Club,Coffin Cheaters,United States,Australia,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Finks Motorcycle Club']
Mexican Mafia,Miri clan,United States,Germany,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Mongols MC']
Clan Pariante,Girati della Vanella Grassi,Italy,,,1,1,1,1,['Clan Di Lauro'],['Amato-Pagano clan']
Diablos Motorcycle Club,United Nations (gang),United States,Canada,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Loners Motorcycle Club,Outcasts MC,Canada,,,1,1,1,1,['Outlaws Motorcycle Club'],['Hells Angels Motorcycle Club']
Dark Circle,Manitoba Warriors,,Canada,,1,1,1,1,['Rock Machine Motorcycle Club'],['Hells Angels Motorcycle Club']
Satan Disciples,Spanish Cobras,,United States,,1,1,1,1,['Spanish Gangster Disciples'],['Almighty Insane Popes Nation']
Bonde dos 13,Comando Classe A,Brazil,Brazil,True,1,1,1,1,['Primeiro Comando da Capital'],['Comando Vermelho']
14K,Musitano crime family,China,Canada,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Luppino crime family']
Gypsy Joker Motorcycle Club,Outcasts MC,United States,,,1,1,1,1,['Outlaws Motorcycle Club'],['Hells Angels Motorcycle Club']
Los Rojos,Nueva Plaza Cartel,Mexico,Mexico,True,1,1,1,1,['Sinaloa Cartel'],['Cártel de Jalisco Nueva Generación']
Cártel del Noreste,Martinez Familia Sangeros,Mexico,Puerto Rico,False,1,1,1,1,['Gulf Cartel'],['Gulf Cartel']
Loners Motorcycle Club,Thief in law,Canada,Soviet Union,False,1,1,1,1,['American Mafia'],['Hells Angels Motorcycle Club']
Independent Soldiers,Satudarah,Canada,Netherlands,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Mongols MC,Road Knights Motorcycle Club,United States,New Zealand,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Mongrel Mob']
'Ndrina Marvaso,'Ndrina Monteleone,,,,1,1,1,1,"[""'Ndrina Facchineri""]","[""'Ndrina Albanese""]"
Old Trafford Cripz,Young Gooch,,,,1,1,1,1,['Gooch Close Gang'],['Longsight Crew']
Indian Posse,Sons of Silence,Canada,United States,False,1,1,1,1,['Hells Angels Motorcycle Club'],['Hells Angels Motorcycle Club']
Galloping Goose Motorcycle Club,Warlocks Motorcycle Club (Florida),United States,United States,True,1,1,1,1,['Hells Angels Motorcycle Club'],['Outlaws Motorcycle Club']
People Nation,United Blood Nation,United States,United States,True,1,1,1,1,['Bloods'],['Crips']
